Actor 1,Actor 2,Similarity Rating
APT38,Operation Wocao,0.43
Indrik Spider,Aquatic Panda,0.34
NEODYMIUM,APT38,0
Elderwood,Mofang,0.71
SideCopy,Sidewinder,0.55
GALLIUM,menuPass,0.48
APT17,POLONIUM,0.27
APT3,APT41,0.5
Mustard Tempest,Transparent Tribe,0.46
GCMAN,Fox Kitten,0.22
Kimsuky,Lazarus Group,0.52
EXOTIC LILY,Mofang,0.46
admin@338,Darkhotel,0.46
Volt Typhoon,Operation Wocao,0.51
Patchwork,MONSOON,1
APT41,APT3,0.5
Dragonfly,Dragonfly 2.0,0.76
Evilnum,Cobalt Group,0.35
Gorgon Group,Nomadic Octopus,0.55
menuPass,Threat Group-3390,0.54
Night Dragon,GALLIUM,0.35
APT32,Lazarus Group,0.51
HAFNIUM,Magic Hound,0.41
MuddyWater,Sidewinder,0.57
Strider,Equation,0.26
Operation Wocao,Chimera,0.55
Naikon,SideCopy,0.4
FIN6,FIN8,0.48
Gamaredon Group,Frankenstein,0.51
Moafee,Ember Bear,0.22
Gallmaker,APT30,0.53
Leafminer,APT33,0.32
TeamTNT,Rocke,0.52
FIN7,LazyScripter,0.51
Sandworm Team,Magic Hound,0.52
Machete,Rancor,0.49
APT18,Metador,0.46
Andariel,Elderwood,0.46
CURIUM,Dark Caracal,0.43
Sidewinder,Confucius,0.59
Mustang Panda,Sidewinder,0.57
ZIRCONIUM,Kimsuky,0.42
Rocke,TeamTNT,0.52
Scattered Spider,Akira,0.31
APT39,Dragonfly 2.0,0.49
TA2541,LazyScripter,0.56
Akira,Scattered Spider,0.31
APT37,Sharpshooter,0.5
Moses Staff,Volatile Cedar,0.39
OilRig,APT34,1
Windigo,Dust Storm,0.44
Higaisa,Darkhotel,0.47
Carbanak,PittyTiger,0.45
Tropic Trooper,Sidewinder,0.51
Orangeworm,SilverTerrier,0.35
Taidoor,Machete,0.22
Suckfly,PittyTiger,0.32
Putter Panda,Dark Caracal,0.29
Sharpshooter,Gorgon Group,0.51
POLONIUM,PittyTiger,0.53
TA459,APT30,0.63
Aquatic Panda,Metador,0.43
Aoqin Dragon,Ferocious Kitten,0.41
Ferocious Kitten,IndigoZebra,0.62
The White Company,APT30,0.5
Ke3chang,Chimera,0.5
APT34,OilRig,1
APT1,Ke3chang,0.43
Frankenstein,Gamaredon Group,0.51
DarkHydrus,Nomadic Octopus,0.57
Confucius,Sidewinder,0.59
BlackTech,Mofang,0.48
Leviathan,Patchwork,0.42
MoustachedBouncer,CopyKittens,0.25
Group5,Metador,0.27
Blue Mockingbird,APT41,0.41
SilverTerrier,Orangeworm,0.35
Dragonfly 2.0,Dragonfly,0.76
Stolen Pencil,APT3,0.32
Turla,Operation Wocao,0.46
Poseidon Group,admin@338,0.41
TA505,Molerats,0.54
BITTER,APT-C-36,0.5
DarkVishnya,Thrip,0.47
APT-C-23,APT38,0
FIN5,PittyTiger,0.43
Mofang,Elderwood,0.71
Lotus Blossom,APT38,0
Stealth Falcon,Frankenstein,0.49
APT29,UNC2452,1
Dark Caracal,CURIUM,0.43
Cinnamon Tempest,Blue Mockingbird,0.38
Chimera,Operation Wocao,0.55
Cleaver,PittyTiger,0.32
Silent Librarian,PittyTiger,0.39
Charming Kitten,APT38,0
BRONZE BUTLER,MuddyWater,0.51
TA551,Nomadic Octopus,0.51
TEMP.Veles,FIN10,0.42
MONSOON,Patchwork,1
Equation,Strider,0.26
BackdoorDiplomacy,Volatile Cedar,0.35
Gelsemium,GOLD SOUTHFIELD,0.19
Darkhotel,Sidewinder,0.47
Axiom,Dragonfly,0.29
Deep Panda,ToddyCat,0.36
Ember Bear,TA505,0.54
LazyScripter,TA2541,0.56
Dust Storm,BlackOasis,0.58
Windshift,Sidewinder,0.54
Volatile Cedar,Moses Staff,0.39
ToddyCat,Operation Wocao,0.49
Whitefly,BITTER,0.42
LuminousMoth,Patchwork,0.41
CostaRicto,PittyTiger,0.32
APT28,APT29,0.45
Malteiro,Molerats,0.42
Metador,APT18,0.46
APT5,FIN13,0.42
Fox Kitten,APT39,0.45
RTM,APT30,0.53
APT12,APT30,0.63
APT-C-36,WIRTE,0.6
Scarlet Mimic,Ferocious Kitten,0.41
Winnti Group,Darkhotel,0.33
Tonto Team,TA459,0.46
GOLD SOUTHFIELD,Thrip,0.33
Lazarus Group,Kimsuky,0.52
Earth Lusca,MuddyWater,0.47
FIN4,Mofang,0.52
Silence,Sharpshooter,0.47
Sowbug,admin@338,0.38
Threat Group-1314,Orangeworm,0.35
Thrip,DarkVishnya,0.47
APT16,Indrik Spider,0.22
LAPSUS$,Scattered Spider,0.29
BlackOasis,Dust Storm,0.58
UNC2452,APT29,1
Cobalt Group,Patchwork,0.47
CopyKittens,DarkHydrus,0.4
Wizard Spider,FIN8,0.52
Molerats,Mofang,0.54
Transparent Tribe,Mofang,0.6
IndigoZebra,Ferocious Kitten,0.62
Inception,Confucius,0.54
Honeybee,Patchwork,0.41
PROMETHIUM,RTM,0.34
APT30,TA459,0.63
HEXANE,Magic Hound,0.43
DragonOK,APT38,0
Rancor,APT-C-36,0.53
WIRTE,APT-C-36,0.6
PLATINUM,Ajax Security Team,0.47
Magic Hound,Sandworm Team,0.52
Ajax Security Team,APT30,0.58
Threat Group-3390,menuPass,0.54
APT33,MuddyWater,0.46
FIN10,Silence,0.46
FIN8,Wizard Spider,0.52
FIN13,APT41,0.49
APT19,APT32,0.45
PittyTiger,POLONIUM,0.53
Nomadic Octopus,DarkHydrus,0.57
Bouncing Golf,APT38,0
Charming Kitten,APT38,0
